traits
1707_3
1717
1747_1
1747_2
1747_3
1747_4
1747_5
1747_6
1940
1980
20001_1003
20001_1020
20001_1022
20001_1023
20001_1034
20001_1035
20001_1052
20001_1053
20001_1059
20001_1060
20001_1061
20001_1062
20001_1073
20001_99999
20002_1465
20002_1466
20126_1
20126_2
20126_5
20401
20456
20463
20466
20468
20471
20474
20480
20495
2050
20501
20506
20507
20508
20510
20544_1
20544_10
20544_17
20544_3
20544_4
20544_5
20544_6
20544_7
2060
2070
2159
22128
22129
22130
22133
22134
22137
23099_irnt
23100_irnt
23106_irnt
23107_irnt
23108_irnt
23109_irnt
23110_irnt
23111_irnt
23112_irnt
23115_irnt
23116_irnt
23119_irnt
23120_irnt
23123_irnt
23127_irnt
23128_irnt
23129_irnt
23130_irnt
2443
2453
30010_irnt
30020_irnt
30030_irnt
30070_irnt
30080_irnt
30100_irnt
30170
30210_irnt
30230
30240_irnt
30250_irnt
30280_irnt
30290_irnt
30300_irnt
3144_irnt
3147_irnt
3148_irnt
40001_C189
40001_C259
4079_irnt
4269
4270
4276
4642
48_irnt
4924
4935
4946
49_irnt
6015
6032_irnt
6033_irnt
6148_1
6148_2
6148_3
6148_5
6148_6
6149_1
6149_100
6149_2
6149_4
6150_1
6150_100
6150_2
6150_3
6151_1
6151_2
6151_3
6151_4
6151_5
6151_6
6151_7
6152_5
6152_6
6152_7
78_irnt
A04
A08
A09
A41
B07
B34
B37
C15
C16
C18
C19
C20
C25
C34
C43
C44
C64
C67
C71
C77
C78
C79
C80
C82
C83
C85
C90
C91
C92
D03
D04
D07
D10
D11
D12
D13
D17
D18
D21
D22
D23
D33
D35
D36
D37
D41
D47
D48
D50
D64
D69
D70
D75
E04
E10
E11
E16
E83
E87
F10
F31
F32
F33
F41
F43
G35
G40
G43
G44
G45
G47
G51
G56
G57
G62
G81
G93
H00
H02
H04
H11
H18
H25
H26
H33
H34
H35
H40
H43
H50
H53
H60
H61
H65
H66
H71
H72
H74
H81
H83
H90
H91
H92
I08
I10
I20
I21
I24
I25
I26
I31
I34
I35
I42
I44
I47
I48
I49
I50
I60
I61
I63
I64
I65
I67
I70
I73
I74
I77
I80
I83
I84
I95
J02
J03
J06
J18
J22
J31
J32
J33
J34
J35
J36
J38
J39
J44
J45
J47
J84
J90
J93
J98
K01
K02
K04
K05
K07
K08
K09
K11
K12
K13
K14
K20
K22
K25
K26
K29
K30
K31
K35
K37
K40
K41
K42
K43
K50
K51
K52
K55
K56
K57
K58
K59
K60
K61
K62
K63
K66
K74
K75
K76
K80
K81
K83
K85
K86
K90
K91
K92
L02
L03
L05
L08
L30
L40
L43
L57
L60
L72
L81
L82
L85
L90
L91
L92
L98
M06
M13
M15
M16
M17
M18
M19
M20
M21
M22
M23
M24
M25
M31
M43
M46
M47
M48
M50
M51
M54
M62
M65
M66
M67
M70
M71
M72
M76
M77
M79
M81
M84
M89
M94
M96
N02
N12
N13
N17
N18
N20
N23
N28
N30
N31
N32
N35
N36
N39
N62
N99
Q21
R00
R04
R05
R06
R09
R11
R12
R13
R14
R15
R17
R18
R19
R20
R21
R22
R25
R26
R29
R30
R31
R32
R33
R35
R39
R41
R42
R47
R49
R50
R51
R52
R53
R55
R56
R59
R60
R63
R69
R79
R91
R93
R94
S00
S01
S02
S06
S09
S22
S30
S32
S42
S52
S61
S62
S63
S64
S66
S72
S80
S81
S82
S83
S86
S92
T17
T18
T39
T40
T42
T43
T50
T78
T81
T82
T83
T85
Z00
Z01
Z03
Z04
Z08
Z09
Z11
Z12
Z13
Z30
Z42
Z43
Z45
Z46
Z47
Z48
Z50
Z52
Z53
Z80
Z85
Z87
